date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:20	8508/8508	---M--	200	added ('OK')	application/javascript	etag:%2235a0fc2-213c-52b657b8bbd00%22	http://www.softwebsolutions.com/wp-includes/js/jquery/ui/accordion.min.js	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-includes/js/jquery/ui/accordion.min.js	(from http://www.softwebsolutions.com/)
21:39:21	12076/12076	---M--	200	added ('OK')	application/javascript	etag:%2235a0fc4-2f2c-52b657baa4180%22	http://www.softwebsolutions.com/wp-includes/js/jquery/ui/tabs.min.js	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-includes/js/jquery/ui/tabs.min.js	(from http://www.softwebsolutions.com/)
21:39:22	4904/4904	---M--	200	added ('OK')	application/javascript	etag:%2235a19d2-1328-5104b60ca1000%22	http://www.softwebsolutions.com/wp-content/plugins/responsive-lightbox/js/front.js	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/plugins/responsive-lightbox/js/front.js	(from http://www.softwebsolutions.com/)
21:39:22	9577/9577	---M--	200	added ('OK')	application/javascript	etag:%2235a196a-2569-5104ba9af8fc0%22	http://www.softwebsolutions.com/wp-content/plugins/responsive-lightbox/assets/swipebox/source/jquery.swipebox.min.js	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/plugins/responsive-lightbox/assets/swipebox/source/jquery.swipebox.min.js	(from http://www.softwebsolutions.com/)
21:39:24	11014/11014	---M--	200	added ('OK')	application/javascript	etag:%2235a16d0-2b06-5104b6e611100%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/js/modernizr-2.8.3.min.js	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/js/modernizr-2.8.3.min.js	(from http://www.softwebsolutions.com/)
21:39:24	23825/23825	---M--	200	added ('OK')	application/javascript	etag:%2235a16ca-5d11-515dc844a3f00%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/js/owl.carousel.min.js	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/js/owl.carousel.min.js	(from http://www.softwebsolutions.com/)
21:39:24	982/982	---M--	200	added ('OK')	application/javascript	etag:%2236603e9-3d6-5104b52d78180%22	http://www.softwebsolutions.com/wp-content/plugins/breadcrumbs-by-menu/breadcrumbs_by_menu.js	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/plugins/breadcrumbs-by-menu/breadcrumbs_by_menu.js	(from http://www.softwebsolutions.com/)
21:39:25	18925/18925	---M--	200	added ('OK')	application/javascript	etag:%2235a180d-49ed-51e1bce523e80%22	http://www.softwebsolutions.com/wp-content/plugins/simple-slider-ssp/views/ssp_skins/default/lib/jquery.flexslider-min.js	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/plugins/simple-slider-ssp/views/ssp_skins/default/lib/jquery.flexslider-min.js	(from http://www.softwebsolutions.com/)
21:39:25	773/773	---MC-	200	added ('OK')	text/xml	date:Sun,%2025%20Dec%202016%2002:39:21%20GMT	http://www.softwebsolutions.com/xmlrpc.php?rsd	/tmp/www.softwaregurus.com/www.softwebsolutions.com/xmlrpc0db0.php	(from http://www.softwebsolutions.com/)
21:39:25	1045/1045	---M--	200	added ('OK')	application/xml	etag:%2230466dd-415-52b65736148c0%22	http://www.softwebsolutions.com/wp-includes/wlwmanifest.xml	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-includes/wlwmanifest.xml	(from http://www.softwebsolutions.com/)
21:39:28	209088/209088	---M--	200	added ('OK')	text/css	etag:%2235a1e86-330c0-53acd9d667ec0%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style.css	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style.css	(from http://www.softwebsolutions.com/)
21:39:28	99405/99405	---M--	200	added ('OK')	text/css	etag:%2235a151c-1844d-53bd5531c7500%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style-p.css	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style-p.css	(from http://www.softwebsolutions.com/)
21:39:29	112481/112481	---M--	200	added ('OK')	text/css	etag:%2235a1eb9-1b761-539c5c7253c00%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style-n.css	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style-n.css	(from http://www.softwebsolutions.com/)
21:39:31	6214/6214	---M--	200	added ('OK')	text/css	etag:%2235a01bc-1846-52d9c4463de21%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/softweb.css	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/softweb.css	(from http://www.softwebsolutions.com/)
21:39:31	95807/95807	---M--	200	added ('OK')	application/javascript	etag:%2235a0fd6-1763f-52b6579a37500%22	http://www.softwebsolutions.com/wp-includes/js/jquery/jquery.js	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-includes/js/jquery/jquery.js	(from http://www.softwebsolutions.com/)
21:39:32	23777/23777	---M--	200	added ('OK')	text/css	etag:%2235a1521-5ce1-52eb6c5dbdf80%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style-s.css	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/css/style-s.css	(from http://www.softwebsolutions.com/)
